,lat,lon,pred,std
128,48.25,-4.25,9.461529,2.626317
129,48.25,-3.75,9.375252,2.61778
130,48.25,-3.25,9.269182,2.6123066
131,48.25,-2.75,9.136944,2.6089137
132,48.25,-2.25,8.97053,2.6069267
133,48.25,-1.7500001,8.766594,2.6059234
134,48.25,-1.25,8.531015,2.6055944
135,48.25,-0.75,8.278409,2.6056576
136,48.25,-0.25,8.026069,2.6058767
137,48.25,0.25,7.7875757,2.6060963
138,48.25,0.74999994,7.5698566,2.6062524
139,48.25,1.25,7.3734865,2.6063428
140,48.25,1.75,7.192473,2.6064203
141,48.25,2.25,7.016081,2.6065722
142,48.25,2.75,6.832422,2.6068833
143,48.25,3.25,6.633667,2.6074045
144,48.25,3.75,6.418881,2.6081383
145,48.25,4.25,6.1924577,2.6090698
146,48.25,4.75,5.9620147,2.610216
147,48.25,5.25,5.737708,2.6116745
148,48.25,5.75,5.529846,2.6137242
149,48.25,6.2500005,5.3465548,2.6169493
150,48.25,6.75,5.193994,2.622347
151,48.25,7.25,5.0746827,2.6314225
152,48.25,7.75,4.9824944,2.6461096
153,48.75,-4.75,9.392742,2.632244
154,48.75,-4.25,9.326055,2.6219752
155,48.75,-3.75,9.249338,2.6151273
156,48.75,-3.25,9.158092,2.6107206
157,48.75,-2.75,9.044485,2.6079512
158,48.75,-2.25,8.898578,2.606351
159,48.75,-1.7500001,8.71521,2.6056192
160,48.75,-1.25,8.500927,2.6054878
161,48.75,-0.75,8.27064,2.6056736
162,48.75,-0.25,8.041145,2.605916
163,48.75,0.25,7.824316,2.606072
164,48.75,0.74999994,7.6249924,2.606118
165,48.75,1.25,7.4418306,2.6060965
166,48.75,1.75,7.2681994,2.6060808
167,48.75,2.25,7.0944405,2.6061478
168,48.75,2.75,6.9095893,2.606372
169,48.75,3.25,6.7075944,2.6067889
170,48.75,3.75,6.489491,2.607398
171,48.75,4.25,6.2611027,2.6081963
172,48.75,4.75,6.03163,2.6092043
173,48.75,5.25,5.8137584,2.610505
174,48.75,5.75,5.620545,2.6123285
175,48.75,6.2500005,5.4592175,2.615221
176,48.75,6.75,5.3310614,2.6201777
177,48.75,7.25,5.232751,2.6287222
178,48.75,7.75,5.1562214,2.642815
179,49.25,-2.75,8.884639,2.608549
180,49.25,-2.25,8.762547,2.6070805
181,49.25,-1.7500001,8.609922,2.6063719
182,49.25,-1.25,8.433674,2.6062274
183,49.25,-0.75,8.243744,2.6063707
184,49.25,-0.25,8.052851,2.6064875
185,49.25,0.25,7.869151,2.606434
186,49.25,0.74999994,7.6948066,2.6062539
187,49.25,1.25,7.526756,2.6060574
188,49.25,1.75,7.359083,2.6059346
189,49.25,2.25,7.184925,2.605937
190,49.25,2.75,6.9972553,2.6061013
191,49.25,3.25,6.7923694,2.6064408
192,49.25,3.75,6.5722084,2.6069517
193,49.25,4.25,6.3434987,2.607636
194,49.25,4.75,6.1163797,2.608523
195,49.25,5.25,5.904528,2.6096914
196,49.25,5.75,5.7214785,2.6113527
197,49.25,6.2500005,5.5735264,2.61403
198,49.25,6.75,5.4594564,2.6187084
199,49.25,7.25,5.373632,2.6269195
200,49.25,7.75,5.3074718,2.6406221
201,49.75,-2.75,8.64272,2.6093888
202,49.75,-1.7500001,8.426308,2.6076236
203,49.75,-1.25,8.296786,2.607445
204,49.75,0.25,7.8842063,2.6071408
205,49.75,0.74999994,7.7481623,2.6067183
206,49.75,1.25,7.6066046,2.6063297
207,49.75,1.75,7.4541583,2.6060786
