,rtgp,rcgp,gp,size
1,0.1566321849822998,0.014213800430297852,0.0070149898529052734,405.0
2,0.2538299560546875,0.019475936889648438,0.023005247116088867,810.0
3,0.3804359436035156,0.05731797218322754,0.06355619430541992,1215.0
4,0.5016701221466064,0.1184089183807373,0.12812495231628418,1620.0
5,0.6277666091918945,0.21776914596557617,0.2392711639404297,2025.0
6,0.763577938079834,0.3792111873626709,0.3807680606842041,2430.0
7,1.068108081817627,0.6052548885345459,0.6062650680541992,2835.0
8,0.9964909553527832,0.8413450717926025,0.8296651840209961,3240.0
9,1.1184639930725098,1.190596103668213,1.2372331619262695,3645.0
10,1.2375011444091797,1.6331579685211182,1.6227991580963135,4050.0
11,1.3667359352111816,2.218667984008789,2.235038995742798,4455.0
12,1.4889028072357178,2.69396710395813,2.745699644088745,4860.0
13,1.6349248886108398,3.5935099124908447,3.505995035171509,5265.0
14,1.742077112197876,4.989705801010132,4.375753164291382,5670.0
15,1.8699910640716553,5.378233909606934,5.099617004394531,6075.0
16,1.9982621669769287,5.991649150848389,6.0091400146484375,6480.0
17,2.1354939937591553,7.6431732177734375,7.559429168701172,6885.0
18,2.145456314086914,7.604074001312256,7.815817832946777,6885.0
19,2.2703709602355957,9.647057056427002,8.750164270401001,7290.0
20,2.436222791671753,10.587477207183838,10.442308902740479,7695.0
21,2.8420729637145996,12.355140924453735,11.23903489112854,8100.0
22,2.912550926208496,14.357298851013184,13.221498250961304,8505.0
23,2.779409170150757,16.26338505744934,14.731488943099976,8910.0
24,2.9132957458496094,18.802629947662354,15.76620888710022,9315.0
25,3.055433988571167,21.207299947738647,18.33098602294922,9720.0
26,3.167626142501831,24.173076152801514,20.03071618080139,10125.0
27,3.3351759910583496,28.040817975997925,22.342653036117554,10530.0
28,3.3880598545074463,30.981845140457153,26.215399026870728,10935.0
29,3.5277767181396484,35.21781802177429,28.457815170288086,11340.0
30,3.64454984664917,39.49285912513733,31.91312003135681,11745.0
